time,temperature_2m,temperature_2m_previous_day1,temperature_2m_previous_day2,temperature_2m_previous_day3,temperature_2m_previous_day4,temperature_2m_previous_day5,cloud_cover,cloud_cover_previous_day1,cloud_cover_previous_day2,cloud_cover_previous_day3,cloud_cover_previous_day4,cloud_cover_previous_day5,shortwave_radiation,shortwave_radiation_previous_day1,shortwave_radiation_previous_day2,shortwave_radiation_previous_day3,shortwave_radiation_previous_day4,shortwave_radiation_previous_day5
2024-03-16T00:00,6.8,6.1,6.5,6.4,6.5,6.8,100,100,100,77,91,100,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-16T01:00,6.7,6.0,6.6,6.2,6.4,6.8,100,100,100,90,96,100,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-16T02:00,6.5,6.0,6.6,6.2,6.2,6.8,100,100,100,100,100,100,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-16T03:00,6.3,6.1,6.6,6.3,6.2,6.8,100,100,100,100,100,100,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-16T04:00,6.3,6.1,6.6,6.4,6.1,6.8,100,100,100,97,100,100,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-16T05:00,6.5,6.1,6.4,6.3,6.0,6.7,100,100,100,95,100,100,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-16T06:00,6.3,6.1,6.0,5.8,5.8,6.4,100,100,100,99,100,100,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-16T07:00,6.0,6.0,5.4,5.1,5.5,5.9,100,100,100,100,100,100,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-16T08:00,5.0,5.4,4.9,4.6,5.2,5.5,100,99,100,100,100,100,1.0,1.0,3.0,5.0,4.0,8.0
2024-03-16T09:00,4.8,5.2,4.7,4.5,5.0,5.5,100,100,90,77,100,76,47.0,26.0,35.0,73.0,47.0,92.0
2024-03-16T10:00,4.8,5.1,4.7,4.7,4.8,5.6,100,100,77,46,100,42,60.0,46.0,77.0,176.0,105.0,215.0
2024-03-16T11:00,5.0,5.0,4.6,4.8,4.7,5.7,100,100,70,25,98,18,81.0,68.0,114.0,239.0,136.0,331.0
2024-03-16T12:00,5.1,5.4,4.6,5.0,5.0,5.7,100,100,77,23,91,11,102.0,76.0,141.0,245.0,134.0,421.0
2024-03-16T13:00,5.2,5.6,4.5,5.2,5.5,5.7,100,100,91,31,81,13,77.0,62.0,149.0,230.0,135.0,473.0
2024-03-16T14:00,5.4,5.2,4.4,5.2,5.8,5.6,100,100,100,43,72,20,83.0,46.0,124.0,229.0,183.0,483.0
2024-03-16T15:00,4.9,4.7,4.3,4.9,5.8,5.5,100,100,98,62,64,32,37.0,25.0,83.0,223.0,241.0,445.0
2024-03-16T16:00,3.9,4.5,4.2,4.3,5.6,5.4,100,100,90,85,58,48,50.0,28.0,67.0,190.0,242.0,358.0
2024-03-16T17:00,4.9,4.1,4.0,3.9,5.4,5.3,100,98,80,98,55,60,34.0,31.0,88.0,129.0,169.0,228.0
2024-03-16T18:00,4.7,4.1,3.8,3.9,5.3,5.3,100,100,65,90,59,63,101.0,57.0,95.0,66.0,83.0,104.0
2024-03-16T19:00,4.2,4.0,3.5,3.9,5.2,5.4,100,99,49,72,66,61,16.0,19.0,53.0,22.0,26.0,29.0
2024-03-16T20:00,3.3,3.6,3.2,3.7,5.0,5.4,100,100,40,61,72,59,0.0,0.0,2.0,1.0,1.0,1.0
2024-03-16T21:00,2.1,2.7,2.7,3.0,4.9,5.4,100,100,49,67,77,58,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-16T22:00,1.4,1.9,2.2,2.1,4.9,5.3,100,100,65,79,80,58,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-16T23:00,1.0,1.6,1.7,1.5,4.6,4.9,98,100,72,88,79,62,0.0,0.0,0.0,0.0,0.0,0.0
