time,temperature_2m,temperature_2m_previous_day1,temperature_2m_previous_day2,temperature_2m_previous_day3,temperature_2m_previous_day4,temperature_2m_previous_day5,cloud_cover,cloud_cover_previous_day1,cloud_cover_previous_day2,cloud_cover_previous_day3,cloud_cover_previous_day4,cloud_cover_previous_day5,shortwave_radiation,shortwave_radiation_previous_day1,shortwave_radiation_previous_day2,shortwave_radiation_previous_day3,shortwave_radiation_previous_day4,shortwave_radiation_previous_day5
2024-01-16T00:00,-11.5,,,,,,42,,,,,,0.0,,,,,
2024-01-16T01:00,-11.8,,,,,,0,,,,,,0.0,,,,,
2024-01-16T02:00,-12.2,,,,,,4,,,,,,0.0,,,,,
2024-01-16T03:00,-12.4,,,,,,0,,,,,,0.0,,,,,
2024-01-16T04:00,-12.7,,,,,,0,,,,,,0.0,,,,,
2024-01-16T05:00,-13.3,,,,,,0,,,,,,0.0,,,,,
2024-01-16T06:00,-13.5,,,,,,0,,,,,,0.0,,,,,
2024-01-16T07:00,-13.6,,,,,,0,,,,,,0.0,,,,,
2024-01-16T08:00,-13.9,,,,,,0,,,,,,0.0,,,,,
2024-01-16T09:00,-13.8,,,,,,0,,,,,,0.0,,,,,
2024-01-16T10:00,-13.4,,,,,,1,,,,,,1.0,,,,,
2024-01-16T11:00,-12.2,,,,,,2,,,,,,46.0,,,,,
2024-01-16T12:00,-10.7,,,,,,3,,,,,,121.0,,,,,
2024-01-16T13:00,-8.8,,,,,,12,,,,,,171.0,,,,,
2024-01-16T14:00,-7.2,,,,,,78,,,,,,169.0,,,,,
2024-01-16T15:00,-6.2,,,,,,50,,,,,,111.0,,,,,
2024-01-16T16:00,-5.3,,,,,,86,,,,,,81.0,,,,,
2024-01-16T17:00,-4.7,,,,,,93,,,,,,16.0,,,,,
2024-01-16T18:00,-4.7,,,,,,100,,,,,,0.0,,,,,
2024-01-16T19:00,-4.3,,,,,,100,,,,,,0.0,,,,,
2024-01-16T20:00,-3.9,,,,,,100,,,,,,0.0,,,,,
2024-01-16T21:00,-1.7,,,,,,100,,,,,,0.0,,,,,
2024-01-16T22:00,-1.1,,,,,,100,,,,,,0.0,,,,,
2024-01-16T23:00,-0.9,,,,,,100,,,,,,0.0,,,,,
