time,temperature_2m,temperature_2m_previous_day1,temperature_2m_previous_day2,temperature_2m_previous_day3,temperature_2m_previous_day4,temperature_2m_previous_day5,cloud_cover,cloud_cover_previous_day1,cloud_cover_previous_day2,cloud_cover_previous_day3,cloud_cover_previous_day4,cloud_cover_previous_day5,shortwave_radiation,shortwave_radiation_previous_day1,shortwave_radiation_previous_day2,shortwave_radiation_previous_day3,shortwave_radiation_previous_day4,shortwave_radiation_previous_day5
2024-02-16T00:00,5.2,3.6,3.4,3.3,3.7,5.0,100,100,100,100,100,84,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-16T01:00,5.6,3.7,3.9,3.8,2.7,4.7,100,100,100,100,100,63,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-16T02:00,5.9,3.9,4.3,4.3,2.0,4.3,100,100,100,100,100,48,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-16T03:00,6.5,4.2,4.6,4.7,1.8,4.1,100,100,100,100,100,49,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-16T04:00,6.4,4.6,4.8,5.0,1.9,3.9,100,100,100,100,100,56,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-16T05:00,5.9,4.8,5.0,5.2,2.1,3.6,100,100,100,100,100,59,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-16T06:00,6.0,5.0,5.1,5.3,2.1,2.8,100,100,100,100,100,50,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-16T07:00,5.7,4.5,5.3,5.2,2.2,2.0,100,100,100,100,100,36,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-16T08:00,5.8,5.1,5.4,5.3,2.2,1.3,100,100,100,100,100,26,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-16T09:00,6.2,5.4,5.4,5.4,2.1,1.0,100,100,100,100,100,22,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-16T10:00,6.3,5.9,5.4,5.6,1.9,1.0,100,100,100,100,100,22,3.0,2.0,8.0,7.0,7.0,6.0
2024-02-16T11:00,6.4,5.5,5.5,5.7,2.1,1.4,100,100,100,100,100,30,10.0,17.0,21.0,14.0,17.0,15.0
2024-02-16T12:00,6.4,5.4,5.5,5.7,3.2,2.7,100,100,100,100,100,51,22.0,22.0,39.0,17.0,25.0,22.0
2024-02-16T13:00,6.3,5.7,5.6,5.6,4.7,4.3,100,100,100,100,100,79,37.0,24.0,108.0,28.0,32.0,29.0
2024-02-16T14:00,6.3,5.2,5.6,5.5,5.8,5.5,100,100,100,100,100,100,17.0,30.0,54.0,26.0,33.0,38.0
2024-02-16T15:00,6.0,5.0,5.5,5.5,5.9,5.7,100,100,100,100,100,100,15.0,33.0,33.0,25.0,30.0,32.0
2024-02-16T16:00,5.8,4.8,5.4,5.4,5.6,5.4,100,100,100,100,100,100,7.0,18.0,19.0,24.0,24.0,23.0
2024-02-16T17:00,5.9,4.6,5.3,5.3,5.3,5.1,100,100,100,100,100,100,2.0,2.0,15.0,13.0,15.0,14.0
2024-02-16T18:00,5.8,4.4,5.3,5.3,5.2,4.9,100,100,100,100,100,100,1.0,0.0,4.0,4.0,5.0,5.0
2024-02-16T19:00,5.1,4.2,5.3,5.2,5.0,4.7,100,100,100,100,100,100,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-16T20:00,5.2,4.6,5.2,5.2,4.9,4.6,100,100,100,100,100,100,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-16T21:00,4.9,4.4,5.0,5.2,4.8,4.5,100,100,85,100,100,100,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-16T22:00,4.5,4.6,4.8,5.2,4.7,4.4,100,100,66,100,100,100,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-16T23:00,4.3,4.6,4.5,5.2,4.5,4.0,100,100,55,100,100,100,0.0,0.0,0.0,0.0,0.0,0.0
