time,temperature_2m,temperature_2m_previous_day1,temperature_2m_previous_day2,temperature_2m_previous_day3,temperature_2m_previous_day4,temperature_2m_previous_day5,cloud_cover,cloud_cover_previous_day1,cloud_cover_previous_day2,cloud_cover_previous_day3,cloud_cover_previous_day4,cloud_cover_previous_day5,shortwave_radiation,shortwave_radiation_previous_day1,shortwave_radiation_previous_day2,shortwave_radiation_previous_day3,shortwave_radiation_previous_day4,shortwave_radiation_previous_day5
2024-02-17T00:00,4.3,4.6,4.4,5.2,4.2,3.0,100,100,63,100,100,89,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-17T01:00,4.1,4.7,4.3,5.2,3.7,1.7,100,100,79,100,100,74,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-17T02:00,4.3,4.2,4.2,5.0,3.3,0.6,100,100,90,100,100,60,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-17T03:00,4.0,4.1,4.2,4.8,3.0,-0.0,100,100,90,100,100,50,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-17T04:00,3.0,3.6,4.3,4.4,2.7,-0.4,100,100,84,100,100,42,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-17T05:00,3.0,3.2,4.1,4.0,2.4,-0.8,89,98,72,100,100,36,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-17T06:00,2.7,2.7,3.4,3.5,2.1,-1.3,16,8,49,77,97,34,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-17T07:00,1.9,2.1,2.6,3.0,1.8,-1.8,0,0,21,44,92,35,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-17T08:00,1.4,1.8,2.1,2.6,1.6,-2.2,0,0,0,19,86,37,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-17T09:00,1.1,1.5,2.1,2.3,1.6,-2.4,0,0,0,7,77,38,2.0,2.0,2.0,3.0,6.0,3.0
2024-02-17T10:00,1.4,2.0,2.5,2.2,1.6,-2.5,0,0,0,3,67,41,67.0,68.0,60.0,59.0,67.0,37.0
2024-02-17T11:00,2.1,2.9,2.9,2.3,1.9,-2.3,0,0,0,0,55,46,173.0,173.0,162.0,162.0,148.0,83.0
2024-02-17T12:00,3.2,3.9,3.4,3.0,2.6,-1.6,0,0,10,0,39,58,266.0,267.0,251.0,251.0,224.0,123.0
2024-02-17T13:00,4.2,5.0,3.9,3.9,3.6,-0.6,0,0,23,0,22,74,326.0,328.0,307.0,309.0,289.0,156.0
2024-02-17T14:00,5.3,5.4,4.3,4.5,4.2,0.2,0,0,30,0,14,80,345.0,348.0,316.0,326.0,320.0,102.0
2024-02-17T15:00,5.9,5.2,4.3,4.6,4.3,0.7,0,32,23,22,27,70,325.0,327.0,282.0,302.0,305.0,110.0
2024-02-17T16:00,6.0,5.2,4.2,4.5,4.1,0.9,42,33,10,51,49,51,260.0,262.0,200.0,239.0,251.0,106.0
2024-02-17T17:00,5.8,4.6,3.9,4.1,3.7,0.9,3,38,0,65,60,33,137.0,159.0,125.0,147.0,165.0,77.0
2024-02-17T18:00,4.0,3.6,3.2,3.4,3.0,0.7,47,0,0,50,46,20,54.0,56.0,38.0,47.0,62.0,31.0
2024-02-17T19:00,2.0,2.0,2.2,2.5,2.1,0.4,0,0,0,20,19,9,1.0,1.0,0.0,0.0,1.0,1.0
2024-02-17T20:00,0.5,1.3,1.5,1.6,1.3,-0.0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-17T21:00,-0.3,1.0,1.2,0.9,0.6,-0.4,9,0,1,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-17T22:00,-0.8,0.7,1.2,0.4,-0.1,-0.8,0,8,3,17,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-17T23:00,-1.1,0.6,1.2,0.0,-0.6,-1.1,2,0,10,28,0,0,0.0,0.0,0.0,0.0,0.0,0.0
