time,temperature_2m,temperature_2m_previous_day1,temperature_2m_previous_day2,temperature_2m_previous_day3,temperature_2m_previous_day4,temperature_2m_previous_day5,cloud_cover,cloud_cover_previous_day1,cloud_cover_previous_day2,cloud_cover_previous_day3,cloud_cover_previous_day4,cloud_cover_previous_day5,shortwave_radiation,shortwave_radiation_previous_day1,shortwave_radiation_previous_day2,shortwave_radiation_previous_day3,shortwave_radiation_previous_day4,shortwave_radiation_previous_day5
2024-01-11T00:00,-0.3,,,,,,85,,,,,,0.0,,,,,
2024-01-11T01:00,-0.2,,,,,,74,,,,,,0.0,,,,,
2024-01-11T02:00,-0.4,,,,,,66,,,,,,0.0,,,,,
2024-01-11T03:00,-1.0,,,,,,57,,,,,,0.0,,,,,
2024-01-11T04:00,-1.3,,,,,,37,,,,,,0.0,,,,,
2024-01-11T05:00,-1.4,,,,,,13,,,,,,0.0,,,,,
2024-01-11T06:00,-1.6,,,,,,0,,,,,,0.0,,,,,
2024-01-11T07:00,-2.2,,,,,,11,,,,,,0.0,,,,,
2024-01-11T08:00,-3.0,,,,,,91,,,,,,0.0,,,,,
2024-01-11T09:00,-3.4,,,,,,20,,,,,,0.0,,,,,
2024-01-11T10:00,-3.1,,,,,,57,,,,,,0.0,,,,,
2024-01-11T11:00,-1.6,,,,,,8,,,,,,31.0,,,,,
2024-01-11T12:00,-0.4,,,,,,4,,,,,,94.0,,,,,
2024-01-11T13:00,0.2,,,,,,2,,,,,,143.0,,,,,
2024-01-11T14:00,0.8,,,,,,1,,,,,,155.0,,,,,
2024-01-11T15:00,1.2,,,,,,1,,,,,,132.0,,,,,
2024-01-11T16:00,1.2,,,,,,83,,,,,,79.0,,,,,
2024-01-11T17:00,0.6,,,,,,0,,,,,,15.0,,,,,
2024-01-11T18:00,-0.1,,,,,,0,,,,,,0.0,,,,,
2024-01-11T19:00,-1.3,,,,,,40,,,,,,0.0,,,,,
2024-01-11T20:00,-2.1,,,,,,51,,,,,,0.0,,,,,
2024-01-11T21:00,-2.9,,,,,,0,,,,,,0.0,,,,,
2024-01-11T22:00,-3.3,,,,,,0,,,,,,0.0,,,,,
2024-01-11T23:00,-3.7,,,,,,0,,,,,,0.0,,,,,
