datetime,temperature_2m,cloud_cover,shortwave_radiation
2021-06-30 00:00:00,13.2,80,0.0
2021-06-30 00:15:00,13.0,81,0.0
2021-06-30 00:30:00,12.9,85,0.0
2021-06-30 00:45:00,12.7,89,0.0
2021-06-30 01:00:00,12.6,92,0.0
2021-06-30 01:15:00,12.5,95,0.0
2021-06-30 01:30:00,12.4,99,0.0
2021-06-30 01:45:00,12.4,100,0.0
2021-06-30 02:00:00,12.3,100,0.0
2021-06-30 02:15:00,12.2,91,0.0
2021-06-30 02:30:00,12.1,77,0.0
2021-06-30 02:45:00,12.0,64,0.0
2021-06-30 03:00:00,11.9,57,0.0
2021-06-30 03:15:00,11.8,59,0.0
2021-06-30 03:30:00,11.8,66,0.0
2021-06-30 03:45:00,11.7,75,0.0
2021-06-30 04:00:00,11.7,82,0.0
2021-06-30 04:15:00,11.7,86,0.0
2021-06-30 04:30:00,11.7,89,0.0
2021-06-30 04:45:00,11.7,90,6.0
2021-06-30 05:00:00,11.8,90,16.0
2021-06-30 05:15:00,11.9,87,30.0
2021-06-30 05:30:00,12.0,83,47.0
2021-06-30 05:45:00,12.2,78,65.0
2021-06-30 06:00:00,12.4,75,86.0
2021-06-30 06:15:00,12.8,76,108.0
2021-06-30 06:30:00,13.2,80,132.0
2021-06-30 06:45:00,13.6,83,159.0
2021-06-30 07:00:00,14.1,82,188.0
2021-06-30 07:15:00,14.6,75,219.0
2021-06-30 07:30:00,15.2,63,252.0
2021-06-30 07:45:00,15.7,52,286.0
2021-06-30 08:00:00,16.2,47,322.0
2021-06-30 08:15:00,16.7,51,359.0
2021-06-30 08:30:00,17.2,61,394.0
2021-06-30 08:45:00,17.7,73,425.0
2021-06-30 09:00:00,18.2,82,452.0
2021-06-30 09:15:00,18.6,87,475.0
2021-06-30 09:30:00,19.1,91,493.0
2021-06-30 09:45:00,19.5,94,506.0
2021-06-30 10:00:00,19.9,96,513.0
2021-06-30 10:15:00,20.2,97,513.0
2021-06-30 10:30:00,20.6,98,510.0
2021-06-30 10:45:00,20.9,98,502.0
