forecast_valid_time,forecast_issue_time,lead_hours,temperature_2m,cloud_cover,shortwave_radiation
2021-10-12 00:00:00,2021-10-11 20:00:00,4,284.0064208984375,5.0,0.0
2021-10-12 01:00:00,2021-10-11 20:00:00,5,282.00656250000003,21.400000000000002,0.0
2021-10-12 02:00:00,2021-10-11 20:00:00,6,280.35482421875,5.2,0.0
2021-10-12 03:00:00,2021-10-11 20:00:00,7,280.239453125,5.0,0.0
2021-10-12 04:00:00,2021-10-11 20:00:00,8,280.72578125,4.7,0.0
2021-10-12 05:00:00,2021-10-11 20:00:00,9,280.53994140625,2.5,0.0
2021-10-12 06:00:00,2021-10-11 20:00:00,10,280.1612109375,4.800000000000001,0.0
2021-10-12 07:00:00,2021-10-11 20:00:00,11,280.2141796875,4.800000000000001,0.0
2021-10-12 08:00:00,2021-10-11 20:00:00,12,281.295703125,28.8,0.16
2021-10-12 09:00:00,2021-10-11 20:00:00,13,281.1918359375,80.7,53.980000000000004
2021-10-12 10:00:00,2021-10-11 20:00:00,14,281.65138671875,5.0,105.36
2021-10-12 11:00:00,2021-10-11 20:00:00,15,282.4253515625,2.8000000000000003,162.64000000000001
2021-10-12 12:00:00,2021-10-11 20:00:00,16,282.899169921875,1.0,211.06
2021-10-12 13:00:00,2021-10-11 20:00:00,17,283.36572265625,2.2,248.18
2021-10-12 14:00:00,2021-10-11 20:00:00,18,283.8577392578125,5.0,272.74
2021-10-12 15:00:00,2021-10-11 20:00:00,19,283.983447265625,5.0,352.66
2021-10-12 16:00:00,2021-10-11 20:00:00,20,283.8621337890625,5.0,313.12
2021-10-12 17:00:00,2021-10-11 20:00:00,21,283.80747070312503,5.0,264.34000000000003
2021-10-12 18:00:00,2021-10-11 20:00:00,22,283.359765625,2.8000000000000003,211.48000000000002
2021-10-12 19:00:00,2021-10-11 20:00:00,23,282.58542480468753,1.8,169.32
2021-10-12 20:00:00,2021-10-11 20:00:00,24,282.26193847656253,5.0,141.1
2021-10-12 21:00:00,2021-10-11 20:00:00,25,281.906640625,5.0,0.0
2021-10-12 22:00:00,2021-10-11 20:00:00,26,281.83095703125,83.60000000000001,0.0
2021-10-12 23:00:00,2021-10-11 20:00:00,27,281.58603515625003,100.0,0.0
2021-10-13 00:00:00,2021-10-11 20:00:00,28,281.27731933593753,81.30000000000001,0.0
2021-10-13 01:00:00,2021-10-11 20:00:00,29,281.0667724609375,83.80000000000001,0.0
2021-10-13 02:00:00,2021-10-11 20:00:00,30,280.7932373046875,7.0,0.0
2021-10-13 03:00:00,2021-10-11 20:00:00,31,280.41184082031253,5.0,0.0
2021-10-13 04:00:00,2021-10-11 20:00:00,32,280.1,5.0,0.0
2021-10-13 05:00:00,2021-10-11 20:00:00,33,279.77783203125,5.0,0.0
2021-10-13 06:00:00,2021-10-11 20:00:00,34,279.4470947265625,5.0,0.0
2021-10-13 07:00:00,2021-10-11 20:00:00,35,279.273974609375,17.1,0.0
2021-10-13 08:00:00,2021-10-11 20:00:00,36,279.11240234375003,98.2,0.112
2021-10-13 09:00:00,2021-10-11 20:00:00,37,279.37179687500003,100.0,43.34
2021-10-13 10:00:00,2021-10-11 20:00:00,38,279.92900390625,100.0,79.64
2021-10-13 11:00:00,2021-10-11 20:00:00,39,280.64283203125,100.0,120.44
2021-10-13 12:00:00,2021-10-11 20:00:00,40,281.3284765625,100.0,149.4
2021-10-13 13:00:00,2021-10-11 20:00:00,41,281.96041015625,100.0,164.92000000000002
2021-10-13 14:00:00,2021-10-11 20:00:00,42,282.5,100.0,173.14000000000001
2021-10-13 15:00:00,2021-10-11 20:00:00,43,282.8,100.0,204.46
2021-10-13 16:00:00,2021-10-11 20:00:00,44,282.99997558593753,99.60000000000001,187.04
2021-10-13 17:00:00,2021-10-11 20:00:00,45,283.0008056640625,100.0,159.52
