forecast_valid_time,forecast_issue_time,lead_hours,temperature_2m,cloud_cover,shortwave_radiation
2021-10-26 00:00:00,2021-10-25 20:00:00,4,284.39783203125,42.800000000000004,0.0
2021-10-26 01:00:00,2021-10-25 20:00:00,5,284.43027343750003,90.80000000000001,0.0
2021-10-26 02:00:00,2021-10-25 20:00:00,6,284.60783203125,100.0,0.0
2021-10-26 03:00:00,2021-10-25 20:00:00,7,284.2089453125,100.0,0.0
2021-10-26 04:00:00,2021-10-25 20:00:00,8,284.16732421875,94.30000000000001,0.0
2021-10-26 05:00:00,2021-10-25 20:00:00,9,283.89816406250003,100.0,0.0
2021-10-26 06:00:00,2021-10-25 20:00:00,10,283.8705078125,99.9,0.0
2021-10-26 07:00:00,2021-10-25 20:00:00,11,283.82763671875,100.0,0.0
2021-10-26 08:00:00,2021-10-25 20:00:00,12,283.7708203125,100.0,0.0
2021-10-26 09:00:00,2021-10-25 20:00:00,13,283.804765625,54.1,10.96
2021-10-26 10:00:00,2021-10-25 20:00:00,14,283.793046875,1.8,51.36
2021-10-26 11:00:00,2021-10-25 20:00:00,15,283.82064453125,5.0,97.60000000000001
2021-10-26 12:00:00,2021-10-25 20:00:00,16,283.8869140625,13.0,138.64000000000001
2021-10-26 13:00:00,2021-10-25 20:00:00,17,284.0977734375,25.400000000000002,170.08
2021-10-26 14:00:00,2021-10-25 20:00:00,18,284.25833984375,5.0,190.0
2021-10-26 15:00:00,2021-10-25 20:00:00,19,284.20634765625,4.9,253.1
2021-10-26 16:00:00,2021-10-25 20:00:00,20,284.221953125,54.5,216.0
2021-10-26 17:00:00,2021-10-25 20:00:00,21,284.09824218750003,5.4,170.58
2021-10-26 18:00:00,2021-10-25 20:00:00,22,283.99548828125,10.9,130.04
2021-10-26 19:00:00,2021-10-25 20:00:00,23,283.94888671875003,13.100000000000001,104.04
2021-10-26 20:00:00,2021-10-25 20:00:00,24,283.8664453125,40.0,86.7
2021-10-26 21:00:00,2021-10-25 20:00:00,25,283.792421875,5.4,0.0
2021-10-26 22:00:00,2021-10-25 20:00:00,26,283.67283203125,93.30000000000001,0.0
2021-10-26 23:00:00,2021-10-25 20:00:00,27,283.64203125,99.2,0.0
2021-10-27 00:00:00,2021-10-25 20:00:00,28,283.64230468750003,100.0,0.0
2021-10-27 01:00:00,2021-10-25 20:00:00,29,283.7139453125,100.0,0.0
2021-10-27 02:00:00,2021-10-25 20:00:00,30,283.73431640625,100.0,0.0
2021-10-27 03:00:00,2021-10-25 20:00:00,31,283.59583984375,100.0,0.0
2021-10-27 04:00:00,2021-10-25 20:00:00,32,283.7546484375,100.0,0.0
2021-10-27 05:00:00,2021-10-25 20:00:00,33,284.17248046875,100.0,0.0
2021-10-27 06:00:00,2021-10-25 20:00:00,34,284.60263671875003,100.0,0.0
2021-10-27 07:00:00,2021-10-25 20:00:00,35,284.94455078125003,100.0,0.0
2021-10-27 08:00:00,2021-10-25 20:00:00,36,285.2691015625,100.0,0.0
2021-10-27 09:00:00,2021-10-25 20:00:00,37,285.53912109375,100.0,3.08
