forecast_valid_time,forecast_issue_time,lead_hours,temperature_2m,cloud_cover,shortwave_radiation
2023-08-09 00:00:00,2023-08-08 20:00:00,4,286.7028076171875,100.0,0.38
2023-08-09 01:00:00,2023-08-08 20:00:00,5,286.56165771484376,100.0,0.304
2023-08-09 02:00:00,2023-08-08 20:00:00,6,286.66240234375,100.0,0.256
2023-08-09 03:00:00,2023-08-08 20:00:00,7,286.685107421875,100.0,0.0
2023-08-09 04:00:00,2023-08-08 20:00:00,8,286.7276611328125,100.0,0.0
2023-08-09 05:00:00,2023-08-08 20:00:00,9,286.9042236328125,100.0,0.0
2023-08-09 06:00:00,2023-08-08 20:00:00,10,286.8581909179688,100.0,0.064
2023-08-09 07:00:00,2023-08-08 20:00:00,11,286.94078369140624,100.0,0.656
2023-08-09 08:00:00,2023-08-08 20:00:00,12,286.9291625976563,100.0,1.872
2023-08-09 09:00:00,2023-08-08 20:00:00,13,287.0,100.0,15.06
2023-08-09 10:00:00,2023-08-08 20:00:00,14,287.2281127929688,100.0,19.62
2023-08-09 11:00:00,2023-08-08 20:00:00,15,287.4260986328125,100.0,25.42
2023-08-09 12:00:00,2023-08-08 20:00:00,16,287.51470947265625,100.0,32.76
2023-08-09 13:00:00,2023-08-08 20:00:00,17,287.61328125,100.0,41.504
2023-08-09 14:00:00,2023-08-08 20:00:00,18,287.7281005859375,100.0,57.904
2023-08-09 15:00:00,2023-08-08 20:00:00,19,287.5829345703125,100.0,167.4
2023-08-09 16:00:00,2023-08-08 20:00:00,20,287.6236572265625,100.0,128.38
2023-08-09 17:00:00,2023-08-08 20:00:00,21,287.5003173828125,100.0,109.16
2023-08-09 18:00:00,2023-08-08 20:00:00,22,287.91013183593753,100.0,92.06400000000001
2023-08-09 19:00:00,2023-08-08 20:00:00,23,288.20030517578124,100.0,77.872
2023-08-09 20:00:00,2023-08-08 20:00:00,24,288.5003173828125,100.0,66.544
2023-08-09 21:00:00,2023-08-08 20:00:00,25,288.7030029296875,100.0,2.72
2023-08-09 22:00:00,2023-08-08 20:00:00,26,288.69659423828125,100.0,1.36
2023-08-09 23:00:00,2023-08-08 20:00:00,27,288.59326171875,100.0,0.9
2023-08-10 00:00:00,2023-08-08 20:00:00,28,288.2337158203125,100.0,0.68
2023-08-10 01:00:00,2023-08-08 20:00:00,29,288.1450927734375,100.0,0.544
2023-08-10 02:00:00,2023-08-08 20:00:00,30,287.9963012695313,100.0,0.464
2023-08-10 03:00:00,2023-08-08 20:00:00,31,287.930078125,98.0,0.0
2023-08-10 04:00:00,2023-08-08 20:00:00,32,287.7963500976563,98.60000000000001,0.0
2023-08-10 05:00:00,2023-08-08 20:00:00,33,287.74444580078125,99.10000000000001,0.0
2023-08-10 06:00:00,2023-08-08 20:00:00,34,287.9378662109375,80.4,0.464
2023-08-10 07:00:00,2023-08-08 20:00:00,35,288.1,46.900000000000006,7.232
2023-08-10 08:00:00,2023-08-08 20:00:00,36,288.329052734375,22.700000000000003,31.808
2023-08-10 09:00:00,2023-08-08 20:00:00,37,288.62427978515626,26.400000000000002,328.48
2023-08-10 10:00:00,2023-08-08 20:00:00,38,288.65806884765624,20.5,393.26
2023-08-10 11:00:00,2023-08-08 20:00:00,39,288.758056640625,9.600000000000001,454.42
2023-08-10 12:00:00,2023-08-08 20:00:00,40,288.9623168945313,7.6000000000000005,508.08
2023-08-10 13:00:00,2023-08-08 20:00:00,41,288.9436767578125,6.2,550.6560000000001
2023-08-10 14:00:00,2023-08-08 20:00:00,42,289.069873046875,5.0,580.88
2023-08-10 15:00:00,2023-08-08 20:00:00,43,289.1758544921875,4.7,705.28
2023-08-10 16:00:00,2023-08-08 20:00:00,44,289.3766357421875,2.6,672.52
2023-08-10 17:00:00,2023-08-08 20:00:00,45,289.4859985351563,2.2,628.58
2023-08-10 18:00:00,2023-08-08 20:00:00,46,289.49476318359376,5.0,575.504
2023-08-10 19:00:00,2023-08-08 20:00:00,47,289.42706298828125,94.4,516.72
2023-08-10 20:00:00,2023-08-08 20:00:00,48,289.22364501953126,100.0,449.44
2023-08-10 21:00:00,2023-08-08 20:00:00,49,288.927294921875,99.9,28.28
2023-08-10 22:00:00,2023-08-08 20:00:00,50,288.82728271484376,89.30000000000001,14.16
2023-08-10 23:00:00,2023-08-08 20:00:00,51,288.71363525390626,51.0,9.44
2023-08-11 00:00:00,2023-08-08 20:00:00,52,288.44093017578126,5.0,7.072
2023-08-11 01:00:00,2023-08-08 20:00:00,53,288.32728271484376,5.0,5.664
2023-08-11 02:00:00,2023-08-08 20:00:00,54,288.14091796875,5.0,4.72
2023-08-11 03:00:00,2023-08-08 20:00:00,55,288.0409423828125,5.0,0.0
2023-08-11 04:00:00,2023-08-08 20:00:00,56,288.05458984375,0.7000000000000001,0.0
2023-08-11 05:00:00,2023-08-08 20:00:00,57,288.0409423828125,0.9,0.0
2023-08-11 06:00:00,2023-08-08 20:00:00,58,288.2409301757813,1.2000000000000002,0.96
2023-08-11 07:00:00,2023-08-08 20:00:00,59,288.64091796875,2.8000000000000003,14.688
2023-08-11 08:00:00,2023-08-08 20:00:00,60,289.0546020507813,5.800000000000001,44.272
2023-08-11 09:00:00,2023-08-08 20:00:00,61,289.164794921875,5.0,328.38
2023-08-11 10:00:00,2023-08-08 20:00:00,62,289.40184326171874,4.3,394.40000000000003
2023-08-11 11:00:00,2023-08-08 20:00:00,63,289.46087646484375,0.0,454.72
2023-08-11 12:00:00,2023-08-08 20:00:00,64,289.5327392578125,0.0,506.56
2023-08-11 13:00:00,2023-08-08 20:00:00,65,289.5327392578125,0.0,548.016
2023-08-11 14:00:00,2023-08-08 20:00:00,66,289.76544189453125,0.0,577.824
2023-08-11 15:00:00,2023-08-08 20:00:00,67,290.0018310546875,0.0,698.94
2023-08-11 16:00:00,2023-08-08 20:00:00,68,290.43890380859375,0.0,665.2
2023-08-11 17:00:00,2023-08-08 20:00:00,69,290.6345581054688,4.800000000000001,620.84
2023-08-11 18:00:00,2023-08-08 20:00:00,70,290.6,16.3,568.016
2023-08-11 19:00:00,2023-08-08 20:00:00,71,290.43454589843753,34.300000000000004,508.96000000000004
2023-08-11 20:00:00,2023-08-08 20:00:00,72,290.03839111328125,42.300000000000004,446.992
2023-08-11 21:00:00,2023-08-08 20:00:00,73,289.88450927734374,100.0,28.2
2023-08-11 22:00:00,2023-08-08 20:00:00,74,289.953857421875,100.0,14.1
2023-08-11 23:00:00,2023-08-08 20:00:00,75,289.65386962890625,100.0,9.4
