forecast_valid_time,forecast_issue_time,lead_hours,temperature_2m,cloud_cover,shortwave_radiation
2021-02-16 01:00:00,2021-02-15 19:00:00,6,269.93884765625,100.0,0.0
2021-02-16 02:00:00,2021-02-15 19:00:00,7,270.09962239583336,99.0,0.0
2021-02-16 03:00:00,2021-02-15 19:00:00,8,270.26039713541667,98.0,0.0
2021-02-16 04:00:00,2021-02-15 19:00:00,9,270.421171875,97.0,0.0
2021-02-16 05:00:00,2021-02-15 19:00:00,10,270.43614583333334,97.66666666666667,0.0
2021-02-16 06:00:00,2021-02-15 19:00:00,11,270.4511197916667,98.33333333333333,0.0
2021-02-16 07:00:00,2021-02-15 19:00:00,12,270.46609375,99.0,0.0
2021-02-16 08:00:00,2021-02-15 19:00:00,13,270.7784440104167,98.33333333333333,10.0
2021-02-16 09:00:00,2021-02-15 19:00:00,14,271.0907942708333,97.66666666666667,20.0
2021-02-16 10:00:00,2021-02-15 19:00:00,15,271.40314453125,97.0,30.0
2021-02-16 11:00:00,2021-02-15 19:00:00,16,271.8716731770833,97.33333333333333,42.333333333333336
2021-02-16 12:00:00,2021-02-15 19:00:00,17,272.3402018229167,97.66666666666667,54.66666666666667
2021-02-16 13:00:00,2021-02-15 19:00:00,18,272.80873046875,98.0,67.0
2021-02-16 14:00:00,2021-02-15 19:00:00,19,272.79435546875,98.66666666666667,74.66666666666667
2021-02-16 15:00:00,2021-02-15 19:00:00,20,272.77998046875,99.33333333333333,82.33333333333333
2021-02-16 16:00:00,2021-02-15 19:00:00,21,272.76560546875,100.0,90.0
2021-02-16 17:00:00,2021-02-15 19:00:00,22,272.33030598958334,100.0,76.66666666666667
2021-02-16 18:00:00,2021-02-15 19:00:00,23,271.89500651041664,100.0,63.333333333333336
2021-02-16 19:00:00,2021-02-15 19:00:00,24,271.45970703125,100.0,50.0
2021-02-16 20:00:00,2021-02-15 19:00:00,25,271.54099609375,100.0,33.33333333333333
2021-02-16 21:00:00,2021-02-15 19:00:00,26,271.62228515625003,100.0,16.666666666666664
2021-02-16 22:00:00,2021-02-15 19:00:00,27,271.70357421875,100.0,0.0
2021-02-16 23:00:00,2021-02-15 19:00:00,28,271.61382161458334,100.0,0.0
2021-02-17 00:00:00,2021-02-15 19:00:00,29,271.52406901041667,100.0,0.0
2021-02-17 01:00:00,2021-02-15 19:00:00,30,271.43431640625,100.0,0.0
2021-02-17 02:00:00,2021-02-15 19:00:00,31,271.355703125,100.0,0.0
2021-02-17 03:00:00,2021-02-15 19:00:00,32,271.27708984375,100.0,0.0
2021-02-17 04:00:00,2021-02-15 19:00:00,33,271.1984765625,100.0,0.0
2021-02-17 05:00:00,2021-02-15 19:00:00,34,271.1458919270833,100.0,0.0
2021-02-17 06:00:00,2021-02-15 19:00:00,35,271.0933072916667,100.0,0.0
2021-02-17 07:00:00,2021-02-15 19:00:00,36,271.04072265625,100.0,0.0
2021-02-17 08:00:00,2021-02-15 19:00:00,37,271.3017578125,100.0,6.666666666666666
2021-02-17 09:00:00,2021-02-15 19:00:00,38,271.56279296875,100.0,13.333333333333332
2021-02-17 10:00:00,2021-02-15 19:00:00,39,271.823828125,100.0,20.0
2021-02-17 11:00:00,2021-02-15 19:00:00,40,272.19370442708333,100.0,33.33333333333333
2021-02-17 12:00:00,2021-02-15 19:00:00,41,272.56358072916663,100.0,46.666666666666664
2021-02-17 13:00:00,2021-02-15 19:00:00,42,272.93345703125,100.0,60.0
2021-02-17 14:00:00,2021-02-15 19:00:00,43,272.98180989583335,100.0,70.0
2021-02-17 15:00:00,2021-02-15 19:00:00,44,273.03016276041666,100.0,80.0
2021-02-17 16:00:00,2021-02-15 19:00:00,45,273.078515625,100.0,90.0
2021-02-17 17:00:00,2021-02-15 19:00:00,46,272.6408072916667,100.0,76.66666666666667
2021-02-17 18:00:00,2021-02-15 19:00:00,47,272.2030989583333,100.0,63.333333333333336
2021-02-17 19:00:00,2021-02-15 19:00:00,48,271.765390625,100.0,50.0
2021-02-17 20:00:00,2021-02-15 19:00:00,49,271.49692708333333,98.66666666666667,33.33333333333333
2021-02-17 21:00:00,2021-02-15 19:00:00,50,271.22846354166666,97.33333333333333,16.666666666666664
2021-02-17 22:00:00,2021-02-15 19:00:00,51,270.96,96.0,0.0
2021-02-17 23:00:00,2021-02-15 19:00:00,52,270.9559765625,95.66666666666667,0.0
2021-02-18 00:00:00,2021-02-15 19:00:00,53,270.951953125,95.33333333333333,0.0
2021-02-18 01:00:00,2021-02-15 19:00:00,54,270.9479296875,95.0,0.0
2021-02-18 02:00:00,2021-02-15 19:00:00,55,271.24656901041664,96.66666666666667,0.0
2021-02-18 03:00:00,2021-02-15 19:00:00,56,271.54520833333333,98.33333333333333,0.0
2021-02-18 04:00:00,2021-02-15 19:00:00,57,271.84384765625,100.0,0.0
2021-02-18 05:00:00,2021-02-15 19:00:00,58,271.9671614583333,100.0,0.0
2021-02-18 06:00:00,2021-02-15 19:00:00,59,272.09047526041667,100.0,0.0
2021-02-18 07:00:00,2021-02-15 19:00:00,60,272.2137890625,100.0,0.0
2021-02-18 08:00:00,2021-02-15 19:00:00,61,272.65625651041665,100.0,3.333333333333333
2021-02-18 09:00:00,2021-02-15 19:00:00,62,273.0987239583333,100.0,6.666666666666666
2021-02-18 10:00:00,2021-02-15 19:00:00,63,273.54119140625,100.0,10.0
2021-02-18 11:00:00,2021-02-15 19:00:00,64,273.9335807291667,100.0,17.0
2021-02-18 12:00:00,2021-02-15 19:00:00,65,274.32597005208333,100.0,24.0
2021-02-18 13:00:00,2021-02-15 19:00:00,66,274.71835937500003,100.0,31.0
2021-02-18 14:00:00,2021-02-15 19:00:00,67,274.7332486979167,100.0,27.333333333333332
2021-02-18 15:00:00,2021-02-15 19:00:00,68,274.7481380208334,100.0,23.666666666666668
2021-02-18 16:00:00,2021-02-15 19:00:00,69,274.76302734375,100.0,20.0
2021-02-18 17:00:00,2021-02-15 19:00:00,70,274.93587239583337,100.0,17.0
2021-02-18 18:00:00,2021-02-15 19:00:00,71,275.10871744791666,100.0,14.0
2021-02-18 19:00:00,2021-02-15 19:00:00,72,275.2815625,100.0,11.0
2021-02-18 20:00:00,2021-02-15 19:00:00,73,275.15122395833333,100.0,7.333333333333334
2021-02-18 21:00:00,2021-02-15 19:00:00,74,275.02088541666666,100.0,3.666666666666667
2021-02-18 22:00:00,2021-02-15 19:00:00,75,274.890546875,100.0,0.0
