forecast_valid_time,forecast_issue_time,lead_hours,temperature_2m,cloud_cover,shortwave_radiation
2023-04-10 00:00:00,2023-04-09 20:00:00,4,279.50283203125,94.10000000000001,0.02
2023-04-10 01:00:00,2023-04-09 20:00:00,5,279.30283203125003,60.2,0.016
2023-04-10 02:00:00,2023-04-09 20:00:00,6,278.8836669921875,100.0,0.016
2023-04-10 03:00:00,2023-04-09 20:00:00,7,278.720849609375,92.60000000000001,0.0
2023-04-10 04:00:00,2023-04-09 20:00:00,8,278.6306640625,99.10000000000001,0.0
2023-04-10 05:00:00,2023-04-09 20:00:00,9,278.40000000000003,89.10000000000001,0.0
2023-04-10 06:00:00,2023-04-09 20:00:00,10,278.0,100.0,0.0
2023-04-10 07:00:00,2023-04-09 20:00:00,11,277.721142578125,100.0,1.824
2023-04-10 08:00:00,2023-04-09 20:00:00,12,277.6999755859375,74.9,14.336
2023-04-10 09:00:00,2023-04-09 20:00:00,13,278.3999755859375,98.30000000000001,221.24
2023-04-10 10:00:00,2023-04-09 20:00:00,14,279.2999755859375,100.0,279.0
2023-04-10 11:00:00,2023-04-09 20:00:00,15,279.94101562500003,100.0,303.98
2023-04-10 12:00:00,2023-04-09 20:00:00,16,280.45895996093753,100.0,337.26
2023-04-10 13:00:00,2023-04-09 20:00:00,17,281.0589599609375,100.0,362.82
2023-04-10 14:00:00,2023-04-09 20:00:00,18,281.17148437500003,100.0,383.90000000000003
2023-04-10 15:00:00,2023-04-09 20:00:00,19,281.2388916015625,100.0,383.64
2023-04-10 16:00:00,2023-04-09 20:00:00,20,281.249267578125,100.0,343.84000000000003
2023-04-10 17:00:00,2023-04-09 20:00:00,21,281.40000000000003,100.0,315.64
2023-04-10 18:00:00,2023-04-09 20:00:00,22,281.45895996093753,100.0,282.72
2023-04-10 19:00:00,2023-04-09 20:00:00,23,281.458935546875,100.0,246.064
2023-04-10 20:00:00,2023-04-09 20:00:00,24,281.45895996093753,100.0,209.808
2023-04-10 21:00:00,2023-04-09 20:00:00,25,281.0685546875,100.0,0.14
2023-04-10 22:00:00,2023-04-09 20:00:00,26,280.6707763671875,100.0,0.06
2023-04-10 23:00:00,2023-04-09 20:00:00,27,280.530908203125,100.0,0.04
2023-04-11 00:00:00,2023-04-09 20:00:00,28,280.5654541015625,100.0,0.04
2023-04-11 01:00:00,2023-04-09 20:00:00,29,280.49998779296874,100.0,0.032
2023-04-11 02:00:00,2023-04-09 20:00:00,30,280.5018310546875,100.0,0.016
2023-04-11 03:00:00,2023-04-09 20:00:00,31,280.7659423828125,100.0,0.0
2023-04-11 04:00:00,2023-04-09 20:00:00,32,280.82907714843753,100.0,0.0
2023-04-11 05:00:00,2023-04-09 20:00:00,33,280.9483642578125,100.0,0.0
2023-04-11 06:00:00,2023-04-09 20:00:00,34,281.13092041015625,100.0,0.0
2023-04-11 07:00:00,2023-04-09 20:00:00,35,281.3138061523438,100.0,1.456
2023-04-11 08:00:00,2023-04-09 20:00:00,36,281.083251953125,100.0,3.92
2023-04-11 09:00:00,2023-04-09 20:00:00,37,280.43613281250003,100.0,19.42
2023-04-11 10:00:00,2023-04-09 20:00:00,38,279.9974853515625,100.0,19.8
2023-04-11 11:00:00,2023-04-09 20:00:00,39,279.6420166015625,99.2,22.82
2023-04-11 12:00:00,2023-04-09 20:00:00,40,279.7768798828125,83.2,61.22
2023-04-11 13:00:00,2023-04-09 20:00:00,41,280.2,95.10000000000001,160.5
2023-04-11 14:00:00,2023-04-09 20:00:00,42,279.7,99.60000000000001,214.43200000000002
2023-04-11 15:00:00,2023-04-09 20:00:00,43,279.34104003906253,100.0,277.62
2023-04-11 16:00:00,2023-04-09 20:00:00,44,278.7589599609375,99.80000000000001,177.84
2023-04-11 17:00:00,2023-04-09 20:00:00,45,279.2999755859375,100.0,215.98000000000002
2023-04-11 18:00:00,2023-04-09 20:00:00,46,279.4589477539063,100.0,179.52
2023-04-11 19:00:00,2023-04-09 20:00:00,47,279.41574707031253,100.0,156.24
2023-04-11 20:00:00,2023-04-09 20:00:00,48,279.30389404296875,100.0,136.992
2023-04-11 21:00:00,2023-04-09 20:00:00,49,279.05894775390624,98.7,0.4
2023-04-11 22:00:00,2023-04-09 20:00:00,50,278.99997558593753,100.0,0.2
2023-04-11 23:00:00,2023-04-09 20:00:00,51,279.2574462890625,99.80000000000001,0.14
2023-04-12 00:00:00,2023-04-09 20:00:00,52,279.1999755859375,36.2,0.1
2023-04-12 01:00:00,2023-04-09 20:00:00,53,279.09998779296876,10.9,0.08
2023-04-12 02:00:00,2023-04-09 20:00:00,54,278.7410400390625,52.400000000000006,0.064
2023-04-12 03:00:00,2023-04-09 20:00:00,55,278.71640625000003,83.9,0.0
2023-04-12 04:00:00,2023-04-09 20:00:00,56,278.6300415039063,43.900000000000006,0.0
2023-04-12 05:00:00,2023-04-09 20:00:00,57,278.3386596679688,5.0,0.0
2023-04-12 06:00:00,2023-04-09 20:00:00,58,277.9386474609375,5.0,0.0
2023-04-12 07:00:00,2023-04-09 20:00:00,59,277.8167724609375,5.0,2.96
2023-04-12 08:00:00,2023-04-09 20:00:00,60,278.0360961914063,4.800000000000001,22.352
2023-04-12 09:00:00,2023-04-09 20:00:00,61,278.8579833984375,2.8000000000000003,261.94
2023-04-12 10:00:00,2023-04-09 20:00:00,62,279.5579833984375,5.0,332.16
2023-04-12 11:00:00,2023-04-09 20:00:00,63,280.1193359375,18.5,395.7
2023-04-12 12:00:00,2023-04-09 20:00:00,64,280.1193115234375,98.10000000000001,447.24
2023-04-12 13:00:00,2023-04-09 20:00:00,65,280.09998779296876,93.10000000000001,476.18
2023-04-12 14:00:00,2023-04-09 20:00:00,66,279.9193359375,72.4,496.14
2023-04-12 15:00:00,2023-04-09 20:00:00,67,280.208544921875,100.0,592.36
2023-04-12 16:00:00,2023-04-09 20:00:00,68,280.3193359375,100.0,503.68
2023-04-12 17:00:00,2023-04-09 20:00:00,69,280.30515136718753,100.0,421.32
2023-04-12 18:00:00,2023-04-09 20:00:00,70,280.4386474609375,100.0,355.90000000000003
2023-04-12 19:00:00,2023-04-09 20:00:00,71,280.31931152343753,100.0,305.536
2023-04-12 20:00:00,2023-04-09 20:00:00,72,280.0,100.0,260.0
2023-04-12 21:00:00,2023-04-09 20:00:00,73,280.0000244140625,100.0,0.48
2023-04-12 22:00:00,2023-04-09 20:00:00,74,280.7,100.0,0.22
2023-04-12 23:00:00,2023-04-09 20:00:00,75,280.30810546875,100.0,0.16
