forecast_valid_time,forecast_issue_time,lead_hours,temperature_2m,cloud_cover,shortwave_radiation
2023-11-05 00:00:00,2023-11-04 19:00:00,5,281.06810546875,100.0,0.0
2023-11-05 01:00:00,2023-11-04 19:00:00,6,280.95796875,100.0,0.0
2023-11-05 02:00:00,2023-11-04 19:00:00,7,280.59501953125,100.0,0.0
2023-11-05 03:00:00,2023-11-04 19:00:00,8,280.42447265625003,100.0,0.0
2023-11-05 04:00:00,2023-11-04 19:00:00,9,280.63365234375,100.0,0.0
2023-11-05 05:00:00,2023-11-04 19:00:00,10,280.8298828125,100.0,0.0
2023-11-05 06:00:00,2023-11-04 19:00:00,11,281.05441406250003,100.0,0.0
2023-11-05 07:00:00,2023-11-04 19:00:00,12,281.08515625,100.0,0.0
2023-11-05 08:00:00,2023-11-04 19:00:00,13,281.23037109375,100.0,0.36
2023-11-05 09:00:00,2023-11-04 19:00:00,14,281.35396484375,100.0,2.04
2023-11-05 10:00:00,2023-11-04 19:00:00,15,281.50894531250003,100.0,4.88
2023-11-05 11:00:00,2023-11-04 19:00:00,16,281.8476953125,100.0,18.32
2023-11-05 12:00:00,2023-11-04 19:00:00,17,281.651328125,100.0,21.76
2023-11-05 13:00:00,2023-11-04 19:00:00,18,281.0126171875,100.0,21.400000000000002
2023-11-05 14:00:00,2023-11-04 19:00:00,19,280.77603515625003,100.0,17.32
2023-11-05 15:00:00,2023-11-04 19:00:00,20,280.72716796875,100.0,14.38
2023-11-05 16:00:00,2023-11-04 19:00:00,21,280.7769921875,100.0,10.44
2023-11-05 17:00:00,2023-11-04 19:00:00,22,280.94609375,100.0,7.84
2023-11-05 18:00:00,2023-11-04 19:00:00,23,281.0888916015625,100.0,6.26
2023-11-05 19:00:00,2023-11-04 19:00:00,24,281.1025390625,100.0,5.22
2023-11-05 20:00:00,2023-11-04 19:00:00,25,281.188916015625,99.0,0.0
2023-11-05 21:00:00,2023-11-04 19:00:00,26,281.1795166015625,95.4,0.0
2023-11-05 22:00:00,2023-11-04 19:00:00,27,281.1734765625,99.60000000000001,0.0
2023-11-05 23:00:00,2023-11-04 19:00:00,28,281.17322265625,99.2,0.0
2023-11-06 00:00:00,2023-11-04 19:00:00,29,281.20187500000003,100.0,0.0
2023-11-06 01:00:00,2023-11-04 19:00:00,30,281.1960546875,100.0,0.0
2023-11-06 02:00:00,2023-11-04 19:00:00,31,281.07951171875,99.7,0.0
2023-11-06 03:00:00,2023-11-04 19:00:00,32,280.94509765625,100.0,0.0
2023-11-06 04:00:00,2023-11-04 19:00:00,33,280.86041015625,95.80000000000001,0.0
2023-11-06 05:00:00,2023-11-04 19:00:00,34,280.69529296875,84.30000000000001,0.0
2023-11-06 06:00:00,2023-11-04 19:00:00,35,280.59009765625,83.0,0.0
2023-11-06 07:00:00,2023-11-04 19:00:00,36,280.59798828125,84.0,0.0
2023-11-06 08:00:00,2023-11-04 19:00:00,37,280.77294921875,66.7,1.36
2023-11-06 09:00:00,2023-11-04 19:00:00,38,281.00294921875,70.0,22.84
2023-11-06 10:00:00,2023-11-04 19:00:00,39,281.51326171875,60.2,54.68
2023-11-06 11:00:00,2023-11-04 19:00:00,40,282.10818359375,82.5,84.9
2023-11-06 12:00:00,2023-11-04 19:00:00,41,282.405234375,100.0,89.60000000000001
2023-11-06 13:00:00,2023-11-04 19:00:00,42,282.3653125,100.0,79.184
2023-11-06 14:00:00,2023-11-04 19:00:00,43,282.4873828125,100.0,15.120000000000001
2023-11-06 15:00:00,2023-11-04 19:00:00,44,282.7689453125,96.10000000000001,29.26
2023-11-06 16:00:00,2023-11-04 19:00:00,45,282.88461914062503,87.80000000000001,29.16
2023-11-06 17:00:00,2023-11-04 19:00:00,46,282.9846923828125,100.0,21.98
2023-11-06 18:00:00,2023-11-04 19:00:00,47,282.9880615234375,100.0,17.580000000000002
2023-11-06 19:00:00,2023-11-04 19:00:00,48,282.68808593750003,100.0,14.66
2023-11-06 20:00:00,2023-11-04 19:00:00,49,282.34404296875,100.0,0.0
2023-11-06 21:00:00,2023-11-04 19:00:00,50,282.04611816406253,100.0,0.0
2023-11-06 22:00:00,2023-11-04 19:00:00,51,281.831689453125,100.0,0.0
2023-11-06 23:00:00,2023-11-04 19:00:00,52,281.69013671875,100.0,0.0
2023-11-07 00:00:00,2023-11-04 19:00:00,53,281.5887451171875,100.0,0.0
2023-11-07 01:00:00,2023-11-04 19:00:00,54,281.73818359375,94.10000000000001,0.0
2023-11-07 02:00:00,2023-11-04 19:00:00,55,281.8388671875,21.1,0.0
2023-11-07 03:00:00,2023-11-04 19:00:00,56,281.691455078125,86.4,0.0
2023-11-07 04:00:00,2023-11-04 19:00:00,57,281.89218750000003,100.0,0.0
2023-11-07 05:00:00,2023-11-04 19:00:00,58,281.92270507812503,96.0,0.0
2023-11-07 06:00:00,2023-11-04 19:00:00,59,281.94607421875,89.5,0.0
2023-11-07 07:00:00,2023-11-04 19:00:00,60,281.84388671875,59.0,0.0
2023-11-07 08:00:00,2023-11-04 19:00:00,61,281.6994140625,16.5,0.86
2023-11-07 09:00:00,2023-11-04 19:00:00,62,281.71107421875,5.5,21.86
2023-11-07 10:00:00,2023-11-04 19:00:00,63,281.97109375,15.0,56.54
2023-11-07 11:00:00,2023-11-04 19:00:00,64,282.02279296875,5.0,90.78
2023-11-07 12:00:00,2023-11-04 19:00:00,65,282.02201171875,5.0,118.64
2023-11-07 13:00:00,2023-11-04 19:00:00,66,282.0633984375,5.0,136.89600000000002
2023-11-07 14:00:00,2023-11-04 19:00:00,67,282.00640625,5.0,188.02
2023-11-07 15:00:00,2023-11-04 19:00:00,68,281.9069921875,5.0,152.54
2023-11-07 16:00:00,2023-11-04 19:00:00,69,281.7,67.0,113.12
2023-11-07 17:00:00,2023-11-04 19:00:00,70,281.74755859375,100.0,84.88
2023-11-07 18:00:00,2023-11-04 19:00:00,71,282.0074951171875,100.0,67.9
2023-11-07 19:00:00,2023-11-04 19:00:00,72,281.92021484375,74.3,56.58
2023-11-07 20:00:00,2023-11-04 19:00:00,73,281.8,73.3,0.0
2023-11-07 21:00:00,2023-11-04 19:00:00,74,281.7931640625,47.5,0.0
2023-11-07 22:00:00,2023-11-04 19:00:00,75,281.84619140625,67.60000000000001,0.0
2023-11-07 23:00:00,2023-11-04 19:00:00,76,281.699609375,61.6,0.0
