target_season,rows,mae_w,rmse_w,bias_w,nmae_capacity,nrmse_capacity,baseline_mae_w,skill_vs_baseline,fold_name
winter,855,363.0091671968335,541.6139464984865,-56.67406186263324,0.03300083338153032,0.049237631499862405,557.9134502923977,0.34934501577873145,fold_01
spring,1906,1133.9262492972903,1646.6310199280263,-164.67417579633621,0.10308420448157184,0.149693729084366,1589.8027282266528,0.286750343822765,fold_02
autumn,747,1230.4716219383943,1730.5712697318695,-367.25396180412685,0.11186105653985402,0.15732466088471542,1227.1539491298527,-0.0027035506106580787,fold_03
summer,928,958.8303752401799,1454.6433684373449,-192.02889057714873,0.08716639774910727,0.13224030622157681,1501.323275862069,0.3613431626245762,fold_03
winter,762,148.0640380725939,210.10579211706147,12.427118755717697,0.013460367097508535,0.0191005265560965,212.89763779527559,0.3045294461417477,fold_04
spring,1669,1011.1776619897406,1558.155087907493,34.48036155025109,0.09192524199906733,0.14165046253704483,1625.4499700419412,0.3779090832530211,fold_05
summer,1910,966.237173557849,1442.2909571237237,266.21751024862704,0.08783974305071354,0.13111735973852034,1553.2732984293193,0.37793485889771317,fold_06
autumn,561,319.95740398776525,546.839232406905,-150.27885695543944,0.029087036726160476,0.04971265749153682,449.4117647058824,0.28805289688586266,fold_07
winter,290,91.3315528004085,136.06045393127602,63.09312818935274,0.008302868436400773,0.012369132175570547,32.19310344827586,-1.8369912502269137,fold_07
spring,1396,1140.2201516887835,1671.7489144213084,224.64979966308533,0.10365637742625304,0.15197717403830077,1822.1862464183382,0.3742570750218409,fold_08
