model_name,day_offset,backend,train_rows,validation_rows,mae_w,rmse_w,bias_w,skill_vs_daily,skill_vs_persistence,skill_vs_weekly,season_count,model_path
day_0,0,segmented_xgboost,2756429,539065,1096.0757548399288,1693.4572547906357,23.936300193051274,0.22067947126682053,0.0,0.35451387645669463,4,/workspace/artifacts/models/day_0/model.joblib
day_1,1,lightgbm,56335,11017,815.9868724955926,1336.5458245727548,-2.016978938337802,0.37648982015701393,0.6885733157962364,0.47847036146615973,4,/workspace/artifacts/models/day_1/model.joblib
day_2,2,lightgbm,56310,11024,882.1041419629241,1404.7216213326196,0.7463261396077976,0.32769650611280765,0.6631355922815221,0.43681741170301736,4,/workspace/artifacts/models/day_2/model.joblib
day_3,3,xgboost,56189,11061,978.2039047043884,1545.7845381708769,-112.80870999557644,0.2687528290479626,0.6295351529465325,0.3961689464762973,4,/workspace/artifacts/models/day_3/model.joblib
