target_season,rows,mae_w,rmse_w,bias_w,nmae_capacity,nrmse_capacity,baseline_mae_w,skill_vs_baseline,fold_name
winter,41986,368.41829604427323,626.9565450417595,-165.68989024539107,0.033492572367661205,0.05699604954925086,498.04068022674227,0.26026465172173496,fold_01
spring,92760,1463.6460415264476,2107.092009225898,-358.2537620763797,0.13305873104785887,0.19155381902053617,1759.7354894351013,0.16825792835700693,fold_02
autumn,36365,1176.492886367873,1664.1666388377698,-160.16773220767502,0.10695389876071573,0.15128787625797907,1360.2564003849855,0.13509476152077127,fold_03
summer,45474,1152.217228576825,1627.9358046013242,-207.8048737292682,0.10474702077971136,0.14799416405466584,1663.2937502748823,0.30726774606926466,fold_03
winter,37234,140.15928280053635,196.3068120612693,25.5263108000417,0.01274175298186694,0.017846073823751755,210.90014502873717,0.3354234878243526,fold_04
spring,81685,1280.874164247224,1911.4298063288143,64.4989927963028,0.11644310584065672,0.17376634602989222,1721.11868764155,0.25578975265069803,fold_05
summer,93976,1359.5799211140504,1868.715239401869,324.8954634381465,0.12359817464673185,0.16988320358198808,1715.5785732527454,0.20750938353334625,fold_06
autumn,26895,327.62778708492993,525.6126752259339,-117.95119033325875,0.029784344280448176,0.0477829704750849,441.1612567391708,0.2573514059086237,fold_07
winter,14011,41.986533656023454,77.76594567358266,2.1773953370754735,0.0038169576050930414,0.007069631424871151,32.353722075512096,-0.2977342624761634,fold_07
spring,68679,1418.5728849045636,1948.6736262027323,506.06563284700144,0.12896117135496032,0.17715214783661204,1848.284220795294,0.232492022090537,fold_08
