target_season,rows,mae_w,rmse_w,bias_w,nmae_capacity,nrmse_capacity,baseline_mae_w,skill_vs_baseline,fold_name
winter,877,379.98528220688877,594.7028526937995,-30.23771924929037,0.034544116564262616,0.05406389569943632,528.9942987457241,0.28168359638685003,fold_01
spring,1931,1084.982214702381,1533.8991892321471,-152.52506839527575,0.09863474679112555,0.1394453808392861,1644.1677887105127,0.34010249917783,fold_02
autumn,847,1556.8249884877164,2160.0838807541086,-879.9934683442556,0.14152954440797422,0.19637126188673715,1265.4025974025974,-0.23030013663896476,fold_03
summer,807,1190.8637055722902,1887.440120355572,-532.0503205377078,0.1082603368702082,0.17158546548687018,1508.6542750929368,0.21064505948592493,fold_03
winter,762,162.20666401499878,228.33240824071544,52.73213209347736,0.01474606036499989,0.02075749165824686,192.246719160105,0.1562578299195242,fold_04
spring,1689,1122.5036203536392,1722.4821928210752,-196.93877808911128,0.10204578366851266,0.15658929025646137,1727.7181764357608,0.350297035903543,fold_05
summer,1901,1138.8058509803927,1628.6413031579789,215.97217424437287,0.10352780463458115,0.148058300287089,1577.374013677012,0.2780368884575918,fold_06
autumn,561,289.22982467028334,452.8549004008485,-119.3869640714557,0.02629362042457121,0.041168627309168045,449.4117647058824,0.35642578280172554,fold_07
winter,290,76.46767487073767,113.593677756906,36.98383692338549,0.006951606806430697,0.010326697977900546,32.19310344827586,-1.3752812459847816,fold_07
spring,1396,1248.634879928776,1802.8150464996515,133.3250031435387,0.1135122618117069,0.16389227695451378,1822.1862464183382,0.31476001293332456,fold_08
