lead_bucket_label,rows,mae_w,rmse_w,bias_w,nmae_capacity,nrmse_capacity,baseline_mae_w,skill_vs_baseline
0_1h,44068,493.9994756807999,891.0776766748374,-15.513604089821818,0.04490904324370908,0.08100706151589432,1308.7151674684578,0.6225309464118318
1_3h,88136,765.2781675635099,1265.4835745238404,-41.898985182752796,0.06957074250577362,0.11504396132034912,1308.7409911954253,0.41525620981391254
3_6h,130433,993.5054710404575,1572.758693846596,-23.20969761459116,0.09031867918549613,0.14297806307696329,1326.5300959113108,0.2510494303124493
6h_plus,276428,1345.9275189484686,1946.3237672854725,73.46214788526676,0.1223570471771335,0.17693852429867932,1490.895596683404,0.09723556636522801
