target_season,rows,mae_w,rmse_w,bias_w,nmae_capacity,nrmse_capacity,baseline_mae_w,skill_vs_baseline,fold_name
winter,848,334.3105443814214,532.4405457431036,22.532377469905462,0.030391867671038308,0.04840368597664578,507.9858490566038,0.34189004476742846,fold_01
spring,1906,1073.3016369737786,1653.6067127897418,23.31203846468315,0.09757287608852533,0.15032788298088562,1589.8027282266528,0.3248837620432353,fold_02
autumn,747,965.583541285879,1308.2348333398284,-417.0329185516627,0.08778032193507991,0.11893043939452985,1227.1539491298527,0.21315207275293158,fold_03
summer,928,944.1051456951641,1454.5129427414302,47.27107661742805,0.0858277405177422,0.13222844934013,1501.323275862069,0.3711513297140797,fold_03
winter,762,128.10029949979358,191.57141495814756,-21.16182502052509,0.011645481772708507,0.017415583178013415,212.89763779527559,0.3983009824515946,fold_04
spring,1669,838.9612434686825,1313.5272377655579,-216.93110722113715,0.07626920395169841,0.11941156706959617,1625.4499700419412,0.4838590796817728,fold_05
summer,1910,932.472110171902,1453.6524436604407,51.170658405926225,0.08477019183380928,0.13215022215094915,1553.2732984293193,0.39967286432154325,fold_06
autumn,561,290.08298261860676,509.51554377632567,-64.00502609021149,0.02637118023805516,0.04631959488875688,449.4117647058824,0.3545273946968175,fold_07
winter,290,79.44676550318574,104.18781347504031,64.11763782849167,0.007222433227562341,0.009471619406821848,32.19310344827586,-1.4678194083037557,fold_07
spring,1396,1145.0301166113493,1670.1310444569913,343.59229829085274,0.10409364696466812,0.15183009495063557,1822.1862464183382,0.3716174080108423,fold_08
